fid,state,district,pm10_2019,pm10_2020,relative_change
"1",Baden-Württemberg,Breisgau-Hochschwarzwald,15.7256922261033,18.5983836002277,-15.4459195802864
"2",Baden-Württemberg,Emmendingen,16.1748160265092,18.6096620925085,-13.0837736542217
"3",Baden-Württemberg,Freiburg,15.9610070060281,18.8376211475682,-15.2705807118931
"4",Baden-Württemberg,Konstanz,20.3031268264308,21.5215928935851,-5.66159797362134
"5",Baden-Württemberg,"Lörrach 
Lörrach 
",13.8646416205953,17.8501573531354,-22.327622405189
"6",Baden-Württemberg,Ortenaukreis,17.9689626076135,19.2737308341578,-6.76967130946925
"7",Baden-Württemberg,Rottweil,17.5634314392868,15.8517553798168,9.74568133446441
"8",Baden-Württemberg,Schwarzwald-Baar-Kreis,17.4650751089983,20.0285593816476,-12.7991445805046
"9",Baden-Württemberg,Tuttlingen,19.0294965204203,21.1410539890748,-9.98794795068271
"10",Baden-Württemberg,Waldshut,15.7713784430181,18.642193925147,-15.3995580866496
"11",Baden-Württemberg,Baden-Baden Städte,16.8770947549857,16.5046584628044,2.20675594696959
"12",Baden-Württemberg,Calw,19.8836154806655,22.2030690827937,-10.446544995555
"13",Baden-Württemberg,Enz,21.0435885431648,23.8113442978461,-11.6236854167519
"14",Baden-Württemberg,Freudenstadt,18.3495368866404,17.6141357322386,4.00773686521345
"15",Baden-Württemberg,Heidelberg Städte,18.2050598340157,19.9739097726756,-8.85580218791081
"16",Baden-Württemberg,Karlsruhe Städte,19.6108809837928,22.9298126361988,-14.4743077715623
"17",Baden-Württemberg,Karlsruhe,19.551487920248,22.7863661568546,-14.1965516324045
"18",Baden-Württemberg,Mannheim Städte,21.4614359415494,25.2873913361146,-15.1298935651817
"19",Baden-Württemberg,Neckar-Odenwald-Kreis,20.1551684671612,20.831907963621,-3.24857184297104
"20",Baden-Württemberg,Pforzheim Städte,20.7088055928548,24.0468554863563,-13.8814403213569
"21",Baden-Württemberg,Rastatt,17.7084992456348,17.9984157746097,-1.61078915280895
"22",Baden-Württemberg,Rhein-Neckar-Kreis,18.8920512974796,20.6019369136787,-8.29963523994588
"23",Baden-Württemberg,Böblingen,20.6937708241138,22.3278265215687,-7.31847184443336
"24",Baden-Württemberg,Esslingen,22.4893359535619,24.4731726292857,-8.10616876599743
"25",Baden-Württemberg,Göppingen,21.5410635183597,22.3395691030607,-3.57440011943472
"26",Baden-Württemberg,Heidenheim,20.0595925999108,20.3481300228932,-1.41800461594149
"27",Baden-Württemberg,Heilbronn city Städte,23.2222733864417,23.8720223563058,-2.72180111163655
"28",Baden-Württemberg,Heilbronn,22.6796703818891,23.6526100515921,-4.1134558409443
"29",Baden-Württemberg,Hohenlohe,21.2737568665916,21.6090333327995,-1.55155698565683
"30",Baden-Württemberg,Ludwigsburg,23.6844600098138,23.6481710594066,0.153218398866418
"31",Baden-Württemberg,Main-Tauber,19.316090223033,18.7363125591112,3.00152700276015
"32",Baden-Württemberg,Ostalbkreis,19.9983349801847,20.3553129515132,-1.75373364280308
"33",Baden-Württemberg,Rems-Murr-Kreis,22.8713569365573,23.9412933961562,-4.46900024110925
"34",Baden-Württemberg,Schwäbisch Hall,20.7459346223761,21.0165041208676,-1.28741439078304
